id,titulo
19885,3.7.2. Capacidad de los depósitos de agua
19888,3.7.3. Infraestructura viaria por tipo y estado de la vía
19943,3.7.4. Red viaria según titularidad
19944,3.7.5. Instalaciones deportivas por tipo
19945,3.7.6. Centros asistenciales
19946,3.7.7. Residuos urbanos:Contenedores y producción
19947,3.7.8. Alumbrado público:Número de puntos de luz y potencia instalada
90784,4.1.1.1. Superficie destinada a cultivos de regadío y secano
1952,4.1.1.2. Superficie destinada a cultivos herbáceos de secano
1950,4.1.1.3. Superficie destinada a cultivos herbáceos de regadío
1954,4.1.1.4. Superficie destinada a cultivos leñosos de regadío
1956,4.1.1.5. Superficie destinada a cultivos leñosos de secano
1958,4.1.1.6. Distribución general de la tierra por aprovechamiento
109748,4.1.2.1.1. Explotaciones según tamaño de la superficie agrícola utilizada (SAU)
109736,4.1.2.1.2. Explotaciones según personalidad jurídica del titular
109737,4.1.2.1.3. Explotaciones según tamaño de las unidades ganaderas totales (UGT)
109738,4.1.2.1.4. Explotaciones según orientación técnico-económica (OTE) principal
109739,4.1.2.1.5. Explotaciones según producción estándar total (PET)
109740,4.1.2.1.6. Jefes/as de la explotación según sexo y edad
109743,4.1.2.1.7. Jefes/as de la explotación según formación agraria
109751,4.1.2.2.1. Distribución general de la superficie
109782,4.1.2.2.2. Explotaciones según régimen de tenencia de la SAU
109785,4.1.2.2.3. Aprovechamiento de las tierras labradas. Cultivos herbáceos
109786,4.1.2.2.4. Aprovechamiento de las tierras labradas. Cultivos leñosos
109779,4.1.2.2.5. Superficie regable según tamaño de la superficie agrícola utilizada (SAU)
109810,4.1.2.3.1. Explotaciones ganaderas según tipo de ganado
109814,4.1.2.4.1. Explotaciones con superficie agrícola utilizada (SAU) ecológica por tipo de certificación ecológica
109815,4.1.2.4.2. Distribución de la superficie agrícola utilizada (SAU) ecológica según tipo de cultivo
109818,4.1.2.4.3. Peso de la agricultura ecológica respecto al total de agricultura
109817,4.1.2.4.4. Explotaciones con ganado ecológico por tipo de ganado
29275,4.1.3.1. Número y superficie del total de explotaciones y de las explotaciones con superficie agraria utilizada (SAU)
29277,4.1.3.2. Explotaciones con superficie agraria utilizada (SAU) por tamaño de la SAU
